# ----------------------------------------
# Medhavi Skills University website
# Free form-Free form 1
# 20260827-20260923
# ----------------------------------------

Device category,mobile,desktop,tablet,Totals
City,Active users,Active users,Active users,Active users
Fuzhou,0,3,0,3
Gandhidham,2,1,0,3
Gretna,0,3,0,3
Guna,2,1,0,3
Hamburg,1,2,0,3
Hayathnagar,2,1,0,3
Hindupuram,2,0,1,3
Holdorf,0,3,0,3
Hosapete,2,1,0,3
Hoshiarpur,1,1,1,3
Huizhou,0,3,0,3
Jagadhri,2,1,0,3
Jaisalmer,2,1,0,3
Kakdwip,3,0,0,3
Karimnagar,2,1,0,3
Karkal,2,1,0,2
Khurja,2,1,0,3
Kishanganj,2,1,0,3
Kislovodsk,0,3,0,3
Kodaikanal,2,1,0,3
Kolar,2,1,0,3
Kottayam,3,0,0,3
Las Vegas Valley,0,3,0,3
Madinah,1,2,0,3
Male,1,2,0,3
Mandi,2,1,0,3
Mavelikara,3,0,0,3
Moscow,0,3,0,3
Munger,1,2,0,3
Nabadwip,3,0,0,3
Nalgonda,2,1,0,3
Narmadapuram,3,0,0,3
Narnaul,2,1,0,3
Nipania,3,0,0,3
Panama City,0,3,0,3
Pandharpur,2,1,0,3
Paonta Sahib,3,0,0,3
Parbhani,3,0,0,3
Perumbavoor,3,0,0,3
Petaling Jaya,0,3,0,3
Phoenix,0,3,0,3
Pretoria,0,3,0,3
Pusad,3,0,0,3
Puthukkad,0,3,0,3
Qingdao,0,3,0,3
Quepem,3,0,0,3
Raigarh,3,0,0,3
Rajnandgaon,1,2,0,3
Rampur,3,0,0,3
Ranaghat,3,0,0,3
Raniganj,1,2,0,3
Rawatbhata,2,1,0,2
Raxaul,2,1,0,3
Rosario,0,3,0,3
Sagar,2,1,0,3
San Francisco,1,2,0,3
San Jose,0,3,0,3
Santipur,3,0,0,3
Sanya,2,1,0,3
Sawai Madhopur,3,0,0,3
Seeb,1,2,0,3
Shahjahanpur,2,1,0,3
Shamirpet,1,2,0,3
Shaoxing,0,3,0,3
Shijiazhuang,0,3,0,3
Shirdi,1,2,0,3
Sobhaganj,2,1,0,3
Srirampur,3,0,0,3
Suryapet,3,0,0,3
Tangerang,1,2,0,3
Tehran,1,2,0,3
Tenali,2,1,0,3
Thimphu,1,2,0,3
Tirana,1,2,0,3
Tiruppur,3,0,0,3
Tunis,0,3,0,3
Vatakara,1,2,0,3
Verna,1,2,0,3
Yavatmal,3,0,0,3
Adelaide,0,2,0,2
Akbarpur,1,1,0,2
Akot,2,0,0,2
Al Farwaniyah,1,1,0,2
Alappuzha,2,0,0,2
Ambala Sadar,1,1,0,2
Ames,1,1,0,2
Amman,1,1,0,2
Angamaly,2,0,0,2
Ankleshwar,0,2,0,2
Assagao,1,1,0,2
Atal Nagar-Nava Raipur,0,2,0,2
Austin,0,2,0,2
Bac Giang,0,2,0,2
Bagalkot,2,0,0,2
Balaghat,1,1,0,2
Baleshwar,0,2,0,2
Ballia,1,1,0,2
Balrampur,2,0,0,2
Balurghat,1,1,0,2
Banguntapan,0,2,0,2
Banskopa,2,0,0,2
Bantwal,2,0,0,2
Basti,2,0,0,2
Beawar,2,0,0,2
Begusarai,1,1,0,2
Berlin,1,1,0,2
Bettiah,2,0,0,2
Betul,1,1,0,2
Beverly Hills,0,2,0,2
Bhiwadi,1,1,0,2
Bhuj,2,0,0,2
Bihar Sharif,1,1,0,2
Bijnor,1,1,0,2
Braunschweig,1,1,0,2
Broadstairs,1,1,0,2
Budapest,0,2,0,2
Buenos Aires,0,2,0,2
Burla,1,1,0,2
Butwal,1,1,0,2
Cagayan De Oro City,1,1,0,2
Candolim,2,0,0,2
Canning I,1,1,0,2
Cao Lanh,0,2,0,2
Cape Town,1,1,0,2
Chakdaha,1,1,0,2
Chandauli,2,0,0,2
Chandausi,1,1,0,2
Chandrapur,1,1,0,2
Changde,0,2,0,2
Changodar,1,1,0,2
Chhata,1,1,0,2
Chhatrapur,1,1,0,2
Chilakaluripet,1,1,0,2
Chirawa,2,0,0,2
Chongqing,1,1,0,2
Cifer,2,0,0,2
Coro,0,2,0,2
Corpus Christi,1,1,0,2
Dallas,0,2,0,2
Dar es Salaam,2,0,0,2
Depok,2,0,0,2
Devgarh,2,0,0,2
Dhamtari,2,0,0,2
Dhanaura,0,2,0,2
Dhone,1,1,0,2
Dien Bien Phu,0,2,0,2
Dongguan,0,2,0,2
Durban,2,0,0,2
Durg,0,2,0,2
Ernad,0,2,0,2
Etawah,2,0,0,2
Fatehpur,1,0,1,2
Fremont,1,1,0,2
Gangarampur,2,0,0,2
Gawan,1,1,0,2
Ghatkesar,1,1,0,2
Gobindpur,2,0,0,2
Gohana,2,0,0,2
Gondia,2,0,0,2
Gopalganj,1,0,1,2
Guadalajara,0,2,0,2
Guayaquil,0,2,0,2
Gujranwala,0,2,0,2
Gurdaspur,1,1,0,2
Hajipur,1,1,0,2
Harihar,2,0,0,2
Hathras,1,1,0,2
Hoa Lu,0,2,0,2
Houston,0,2,0,2
Huzurnagar,2,0,0,2
Ichhapur Defence Estate,1,1,0,2
Ili,0,2,0,2
Imus,1,1,0,2
Itarsi,1,1,0,2
Jamtha,1,1,0,2
Janakpur,1,1,0,2
Jatni,1,1,0,2
Jehanabad,2,0,0,2
Jeypore,0,2,0,2
Johor Bahru,2,0,0,2
Kageshwori-Manohara,2,0,0,2
Kakching,2,0,0,2
Kalka,2,0,0,2
Kalna,1,1,0,2
Kanina,2,0,0,2
Kano,2,0,0,2
Kasauli,1,1,0,2
Katni,2,0,0,2
Kattakkada,1,0,1,2
Khagaria,2,0,0,2
Khajni,1,1,0,1
Khamgaon,2,0,0,2
Khandwa,2,0,0,2
Khanna,2,0,0,2
Khed,0,2,0,2
Khimki,0,2,0,2
Kishangarh,2,0,0,2
Kodungallur,2,0,0,2
Kopargaon,1,1,0,2
Koraput,0,2,0,2
Kot Kapura,2,0,0,2
Kottakkal,0,2,0,2
Kudal,2,0,0,2
Kulasekharapuram,1,0,1,2
Kunming,0,2,0,2
Kunnathidavaka,2,0,0,2
Kurli,2,0,0,2
Ladnun,0,2,0,2
Lakhimpur,2,0,0,2
Lalkuwa,2,0,0,2
Lanzhou,0,2,0,2
Lilongwe,2,0,0,2
Lonavala,1,1,0,2
Luanda,1,1,0,2
Luoyang,0,2,0,2
Lusaka,0,2,0,2
Mahabaleshwar,2,0,0,2
Mahagama,2,0,0,2
Mahendragarh,1,1,0,2
Maheshtala,1,1,0,2
Malappuram,1,1,0,2
Malolos,2,0,0,2
Manchar,2,0,0,2
Manchester,0,2,0,2
Mangaf,0,2,0,2
Mansa,2,0,0,2
Marrakesh,0,2,0,2
Marthandam,1,1,0,2
Medellin,0,2,0,2
Melbourne,0,2,0,2
Milton Keynes,1,0,1,2
Mississauga,1,1,0,2
Modasa,1,1,0,2
Modinagar,1,1,0,2
Moinabad,2,0,0,2
Morbi,2,0,0,2
Morena,1,1,0,2
Mulbagal,1,1,0,2
Mwanza,2,0,0,2
Nainital,1,1,0,2
Namakkal,0,2,0,2
Narsinghpur,2,0,0,2
Navelim,1,1,0,2
Nevada City,0,2,0,2
Newark,0,2,0,2
